ID_Activite;Activites_parascolaires;Accees_internet;Temps_libre;Sortir_avec_les_amis
A369;no;yes;2;3
A37;yes;yes;4;3
A370;no;yes;2;2
A371;yes;no;2;2
A372;yes;yes;3;3
A373;yes;no;4;3
A374;yes;yes;5;5
A375;no;yes;4;4
A376;no;yes;3;2
A377;no;yes;4;3
A378;yes;yes;4;3
A379;no;yes;1;3
A38;yes;yes;4;3
A380;yes;yes;5;4
A381;yes;yes;2;4
A382;yes;yes;4;3
A383;yes;yes;4;3
A384;no;no;3;2
A385;no;no;4;3
A386;no;no;3;3
A387;yes;yes;4;3
A388;yes;yes;4;2
A389;no;yes;3;4
A39;yes;yes;3;2
A390;yes;no;1;1
A391;no;no;5;4
A392;no;yes;4;5
A393;no;no;5;3
A394;no;yes;4;1
A395;no;yes;2;3
A4;yes;yes;2;2
A40;yes;no;3;1
A41;yes;yes;3;3
A42;no;yes;4;3
A43;yes;yes;3;3
A44;no;yes;4;1
A45;yes;yes;3;3
A46;yes;yes;2;2
A47;no;yes;3;5
A48;yes;yes;2;2
A49;no;no;3;3
A5;no;no;3;2
A50;yes;yes;4;4
A51;no;yes;3;3
A52;no;yes;3;3
A53;no;no;5;5
A54;no;yes;3;4
A55;no;yes;3;4
A56;yes;yes;3;4
A57;yes;yes;3;2
A58;yes;no;2;2
A59;yes;yes;3;2
A6;yes;yes;4;2
A60;no;yes;2;3
A61;yes;no;4;4
A62;yes;yes;5;5
A63;yes;yes;4;3
A64;yes;yes;4;4
A65;yes;yes;4;4
A66;yes;yes;4;3
A67;yes;yes;3;3
A68;no;yes;3;3
A69;no;yes;1;3
A7;no;yes;4;4
A70;no;yes;4;2
A71;no;yes;3;2
A72;no;yes;3;3
A73;no;yes;3;4
A74;yes;no;3;2
A75;yes;yes;3;3
A76;yes;yes;3;3
A77;yes;yes;4;3
A78;no;yes;2;3
A79;yes;yes;5;1
A8;no;no;1;4
A80;no;yes;4;3
A81;yes;yes;2;2
A82;no;yes;3;2
A83;no;yes;4;4
A84;yes;yes;3;3
A85;yes;yes;3;2
A86;no;yes;4;4
A87;no;no;3;4
A88;yes;yes;3;3
A89;yes;yes;4;2
A9;no;yes;2;2
A90;no;no;1;3
A91;no;yes;3;3
A92;yes;yes;5;5
A93;no;no;3;3
A94;yes;yes;3;3
A95;yes;yes;3;4
A96;yes;yes;1;2
A97;yes;yes;3;3
A98;no;no;3;5
A99;yes;yes;3;4

