ID_etudiant;sexe;Age;Tuteur;Etat_de_sante;Consomation_d_alcool_au_travail;Consomation_d_alcool_au_Weekend
E248;M;22;mother;1;5;5
E249;M;18;mother;5;1;3
E25;F;15;mother;5;1;1
E250;M;16;mother;5;2;4
E251;M;18;mother;5;2;4
E252;M;16;other;2;1;3
E253;M;18;mother;5;2;5
E254;M;16;mother;3;1;3
E255;M;17;mother;5;2;4
E256;M;17;mother;5;1;2
E257;F;17;mother;4;1;1
E258;M;19;mother;1;1;1
E259;M;18;mother;4;1;2
E26;F;16;mother;5;1;3
E260;F;17;father;2;1;1
E261;F;18;father;2;1;3
E262;M;18;mother;3;1;1
E263;M;18;mother;3;1;1
E264;F;17;mother;4;1;1
E265;F;18;mother;3;1;1
E266;M;18;mother;1;3;4
E267;M;17;mother;5;3;4
E268;F;18;mother;4;2;2
E269;M;18;father;5;1;3
E27;M;15;mother;5;1;2
E270;F;18;mother;3;1;2
E271;F;19;other;5;3;3
E272;F;18;father;2;1;3
E273;F;18;mother;3;1;1
E274;M;17;mother;1;2;2
E275;F;17;mother;1;1;1
E276;F;17;mother;5;2;3
E277;F;18;mother;5;1;1
E278;M;18;mother;3;1;4
E279;F;18;father;4;1;1
E28;M;15;mother;1;2;4
E280;M;18;mother;1;1;2
E281;M;17;mother;5;2;4
E282;M;17;mother;3;3;4
E283;F;18;mother;3;1;1
E284;F;18;mother;4;1;1
E285;F;17;mother;5;1;2
E286;M;17;father;4;1;2
E287;F;18;mother;2;1;2
E288;F;17;mother;3;1;1
E289;M;18;mother;2;1;3
E29;M;16;mother;5;1;1
E290;M;18;mother;2;1;1
E291;M;18;mother;5;1;4
E292;F;17;mother;3;1;2
E293;F;18;mother;5;1;1
E294;F;17;mother;3;1;1
E295;M;18;mother;4;1;1
E296;M;17;mother;5;1;3
E297;F;19;other;2;2;3
E298;F;18;other;2;1;2
E299;F;18;father;3;1;1
E3;F;15;mother;3;2;3
E30;M;16;mother;5;5;5
E300;M;18;mother;1;2;2
E301;F;18;mother;4;1;1
E302;M;17;father;5;2;2
E303;F;17;mother;3;1;1
E304;F;17;father;5;1;2
E305;M;19;other;3;1;1
E306;F;18;other;3;1;1
E307;M;20;other;5;1;1
E308;M;19;other;4;1;1
E309;M;19;father;5;1;2
E31;M;15;mother;5;3;4
E310;F;19;other;3;1;3
E311;F;19;other;3;2;2
E312;F;19;other;2;1;1
E313;M;19;other;4;2;2
E314;F;19;other;1;1;2
E315;F;19;other;3;1;1
E316;F;19;other;3;1;1
E317;F;18;mother;1;1;2
E318;F;18;mother;5;1;1
E319;F;17;father;5;2;5
E32;M;15;mother;5;1;1
E320;F;18;mother;5;3;3
E321;F;17;mother;5;1;2
E322;F;17;mother;3;1;1
E323;F;17;mother;3;2;2
E324;F;17;father;5;2;3
E325;F;17;father;2;2;3
E326;M;18;mother;3;2;2
E327;M;17;mother;5;3;5
E328;M;17;mother;4;5;5
E329;F;17;mother;4;1;3
E33;M;15;mother;5;1;1
E330;F;17;mother;4;1;2
E331;M;18;mother;5;2;4
E332;F;17;father;5;1;1
E333;F;18;mother;4;1;1
E334;F;18;other;2;1;1
E335;F;18;mother;4;1;1
E336;F;17;mother;5;1;3
E337;F;19;other;5;1;2
E338;F;17;mother;2;2;3
E339;F;18;mother;1;1;1
E34;M;15;mother;2;1;1
E340;F;17;mother;2;2;3
E341;F;19;other;3;1;3
E342;M;18;father;2;2;2
E343;M;18;mother;5;1;3
E344;F;17;father;4;1;2
E345;F;18;mother;3;1;2
E346;F;18;mother;1;2;3
E347;M;18;mother;4;1;2
E348;M;18;mother;5;2;3
E349;F;17;mother;4;1;3
E35;M;16;mother;5;1;1
E350;M;18;mother;5;5;5
E351;M;19;other;2;3;3
E352;M;17;mother;3;2;3
E353;M;18;mother;3;2;3
E354;M;19;other;5;3;3
E355;M;17;mother;2;1;3
E356;F;18;father;5;1;1
E357;F;17;father;5;1;2
E358;F;17;mother;5;1;2
E359;M;18;father;3;1;2
E36;F;15;father;5;1;1
E360;F;18;father;4;1;1
E361;F;18;mother;5;1;4
E362;M;18;mother;5;2;3
E363;F;18;mother;3;1;3
E364;F;17;mother;1;1;1
E365;F;17;father;3;1;2
E366;M;18;mother;3;2;4
E367;M;18;mother;5;2;2
E368;F;17;mother;1;1;2
E369;F;18;father;4;1;2
E37;M;15;mother;4;1;1
E370;F;18;father;5;4;2
E371;F;19;other;3;1;1
E372;M;18;father;3;2;3
E373;F;17;mother;3;1;1
E374;F;17;mother;1;1;3
E375;F;18;mother;1;1;1
E376;F;18;mother;4;1;2
E377;F;20;other;3;1;1
E378;F;18;mother;2;3;4
E379;F;18;mother;1;1;2
E38;M;16;mother;5;1;1
E380;F;17;mother;1;2;3
E381;M;18;father;2;1;4
E382;M;18;mother;5;1;3
E383;M;17;father;3;1;1
E384;M;19;mother;5;1;3
E385;M;18;father;3;4;3
E386;F;18;mother;4;1;3
E387;F;18;mother;5;2;2
E388;F;19;mother;5;1;2
E389;F;18;mother;1;1;1
E39;F;15;mother;5;1;1
E390;F;18;mother;5;1;1
E391;M;20;other;4;4;5
E392;M;17;mother;2;3;4
E393;M;21;other;3;3;3
E394;M;18;mother;5;3;4
E395;M;19;father;5;3;3
E4;F;15;mother;5;1;1
E40;F;15;mother;2;1;1
E41;F;16;mother;3;1;2
E42;M;15;other;5;2;4
E43;M;15;father;5;1;1
E44;M;15;father;1;1;1
E45;F;16;father;5;2;2
E46;F;15;mother;5;1;1
E47;F;16;mother;3;1;4
E48;M;16;mother;2;1;1
E49;M;15;mother;5;2;2
E5;F;16;father;5;1;2
E50;F;15;father;3;1;1
E51;F;16;mother;4;2;3
E52;F;15;mother;5;1;1
E53;M;15;father;5;3;4
E54;F;15;mother;5;2;3
E55;F;15;mother;1;4;4
E56;F;16;mother;2;1;1
E57;F;15;mother;1;1;1
E58;M;15;mother;5;1;1
E59;M;15;father;5;1;1
E6;M;16;mother;5;1;2
E60;F;16;mother;5;1;1
E61;F;16;mother;4;2;3
E62;F;16;father;5;5;5
E63;F;16;father;1;1;1
E64;F;16;mother;4;2;4
E65;F;15;father;2;2;4
E66;F;16;mother;1;1;2
E67;M;15;mother;3;5;5
E68;F;16;mother;5;1;2
E69;F;15;mother;4;1;3
E7;M;16;mother;3;1;1
E70;F;15;father;3;2;3
E71;M;16;father;5;1;1
E72;M;15;mother;3;1;1
E73;F;15;mother;5;2;4
E74;M;16;mother;5;2;2
E75;F;16;mother;5;2;4
E76;M;15;mother;5;2;3
E77;M;15;mother;1;1;1
E78;F;16;mother;3;1;3
E79;M;17;mother;3;1;1
E8;F;17;mother;1;1;1
E80;F;16;mother;3;1;2
E81;M;15;father;3;1;3
E82;M;15;mother;5;1;2
E83;F;15;mother;5;1;1
E84;M;15;mother;4;1;3
E85;F;15;father;4;2;3
E86;F;15;father;5;2;3
E87;F;16;mother;2;1;2
E88;F;15;mother;1;1;3
E89;M;16;father;3;1;1
E9;M;15;mother;1;1;1
E90;M;16;mother;5;3;5
E91;F;16;mother;4;1;3
E92;F;15;mother;1;1;3
E93;F;16;father;2;2;3
E94;F;16;mother;1;1;1
E95;M;15;mother;4;1;1
E96;F;15;mother;1;1;1
E97;M;16;mother;4;1;1
E98;F;16;mother;5;1;1
E99;F;16;mother;1;1;2

