ID_Parent;Education_de_mere;Education_du_per;Travaille_de_mere;Travaille_du_per;Qualite_de_relation_familiales;Statut_des_parent
P219;2;3;at_home;other;3;T
P22;4;4;health;health;5;T
P220;2;2;at_home;at_home;4;T
P221;2;1;at_home;services;4;T
P222;1;1;at_home;other;4;T
P223;2;3;services;teacher;2;T
P224;2;2;other;other;3;T
P225;4;4;teacher;services;5;T
P226;3;1;other;other;5;T
P227;3;2;other;other;5;T
P228;2;3;services;services;5;T
P229;2;1;at_home;other;4;T
P23;4;2;teacher;other;4;T
P230;2;1;other;other;3;A
P231;4;3;health;other;3;T
P232;2;2;other;other;4;T
P233;4;4;teacher;teacher;4;T
P234;4;4;health;other;4;T
P235;1;1;other;other;3;T
P236;3;2;at_home;other;5;T
P237;2;2;other;other;4;T
P238;2;1;other;other;4;T
P239;2;1;at_home;services;2;T
P24;2;2;other;other;5;T
P240;2;2;other;services;5;T
P241;4;3;health;other;2;T
P242;4;4;teacher;other;3;A
P243;4;3;teacher;other;5;T
P244;4;4;services;services;5;T
P245;2;1;other;other;4;T
P246;2;1;other;other;4;T
P247;2;3;other;other;5;T
P248;3;1;services;services;5;T
P249;3;3;other;services;4;T
P25;2;4;services;health;4;T
P250;0;2;other;other;4;T
P251;3;2;services;other;4;T
P252;3;3;at_home;other;5;T
P253;2;1;services;services;3;T
P254;2;1;other;other;3;T
P255;2;1;other;other;4;T
P256;1;1;health;other;4;T
P257;4;2;teacher;services;4;T
P258;4;3;services;at_home;4;A
P259;2;1;other;other;5;T
P26;2;2;services;services;1;T
P260;2;2;services;services;3;T
P261;4;3;services;other;3;T
P262;4;3;teacher;other;4;T
P263;3;2;other;other;5;T
P264;3;3;other;other;3;T
P265;2;2;at_home;services;4;T
P266;3;4;other;other;4;A
P267;3;1;services;other;5;T
P268;4;4;teacher;other;4;T
P269;4;2;health;other;5;T
P27;2;2;other;other;4;T
P270;2;1;other;other;4;T
P271;3;3;other;services;4;T
P272;2;3;other;services;4;T
P273;1;1;other;other;4;T
P274;1;2;at_home;at_home;3;T
P275;2;4;at_home;health;4;T
P276;2;2;services;other;4;T
P277;3;2;other;services;4;A
P278;4;4;teacher;services;3;T
P279;4;4;health;health;2;T
P28;4;2;health;services;2;T
P280;4;3;teacher;services;4;T
P281;4;1;services;other;4;A
P282;3;2;teacher;services;4;A
P283;1;1;at_home;other;5;T
P284;1;1;other;other;5;T
P285;2;2;other;other;5;T
P286;1;1;other;other;4;T
P287;2;2;at_home;at_home;4;T
P288;1;1;services;teacher;4;T
P289;2;1;services;services;4;T
P29;3;4;services;other;5;A
P290;4;4;teacher;teacher;5;A
P291;4;2;teacher;other;4;T
P292;4;3;health;services;4;T
P293;2;1;services;at_home;5;T
P294;3;1;services;other;3;T
P295;3;2;services;other;5;T
P296;3;3;health;other;4;T
P297;4;4;health;other;2;T
P298;4;3;other;other;4;T
P299;4;3;other;other;4;T
P3;1;1;at_home;other;4;T
P30;4;4;teacher;teacher;4;T
P300;4;4;teacher;teacher;1;T
P301;4;4;health;other;4;A
P302;4;4;other;teacher;4;T
P303;4;2;other;other;4;T
P304;3;2;health;health;5;T
P305;3;3;other;other;4;T
P306;2;4;services;at_home;4;T
P307;3;2;services;other;5;A
P308;4;4;teacher;services;4;T
P309;3;3;other;services;4;T
P31;4;4;health;services;5;T
P310;1;1;at_home;other;4;T
P311;1;2;services;services;4;T
P312;2;1;at_home;other;3;T
P313;1;2;other;services;4;T
P314;3;2;services;other;4;T
P315;1;1;at_home;health;4;T
P316;2;3;other;other;4;T
P317;2;1;services;other;5;T
P318;4;3;other;other;4;T
P319;3;4;at_home;services;4;T
P32;4;4;services;services;4;T
P320;4;4;teacher;other;4;T
P321;4;3;services;services;5;A
P322;2;2;other;other;4;T
P323;2;2;services;services;3;T
P324;3;1;services;services;3;T
P325;0;2;at_home;at_home;3;T
P326;4;4;other;other;4;T
P327;3;3;other;services;4;T
P328;2;2;services;other;4;T
P329;4;4;teacher;services;5;T
P33;4;3;teacher;at_home;4;T
P330;4;4;teacher;teacher;4;T
P331;2;2;other;other;4;T
P332;2;4;at_home;other;4;T
P333;3;3;services;services;5;T
P334;2;2;other;other;4;T
P335;2;2;at_home;other;4;T
P336;3;4;services;other;4;T
P337;3;1;services;at_home;5;A
P338;3;2;other;other;4;T
P339;3;3;services;services;5;T
P34;3;3;other;other;5;T
P340;3;2;other;other;4;A
P341;2;1;services;services;4;T
P342;4;4;teacher;services;4;T
P343;3;4;services;other;4;T
P344;2;2;at_home;at_home;3;A
P345;2;3;at_home;other;4;T
P346;3;2;other;services;5;T
P347;4;3;teacher;services;5;T
P348;4;3;teacher;other;5;T
P349;4;3;health;other;4;T
P35;3;2;other;other;5;T
P350;3;2;other;other;2;T
P351;1;1;other;services;5;T
P352;3;3;health;other;4;T
P353;1;3;at_home;services;4;T
P354;1;1;other;other;4;T
P355;4;3;services;other;4;T
P356;3;3;services;services;5;T
P357;4;4;teacher;services;4;T
P358;3;2;services;other;1;A
P359;1;1;other;services;3;T
P36;2;3;other;other;3;T
P360;1;1;at_home;services;5;T
P361;1;4;at_home;other;4;A
P362;1;1;at_home;other;4;T
P363;3;3;services;services;4;T
P364;4;4;at_home;at_home;2;T
P365;1;2;other;services;3;T
P366;1;3;at_home;other;3;T
P367;4;4;teacher;services;4;T
P368;1;1;other;services;5;T
P369;2;3;at_home;services;5;T
P37;4;3;teacher;services;5;T
P370;4;4;other;teacher;3;T
P371;3;2;services;services;3;T
P372;1;2;at_home;services;4;T
P373;2;2;other;at_home;3;T
P374;1;2;other;other;3;T
P375;4;4;other;other;5;T
P376;1;1;other;other;4;T
P377;4;2;health;other;5;T
P378;4;4;teacher;services;5;T
P379;3;3;other;other;4;T
P38;4;4;other;teacher;2;A
P380;3;1;at_home;other;4;T
P381;4;4;teacher;teacher;3;T
P382;2;1;other;other;4;T
P383;2;3;other;services;4;T
P384;1;1;other;services;4;T
P385;4;2;other;other;5;T
P386;2;2;at_home;other;5;T
P387;4;4;teacher;at_home;4;T
P388;2;3;services;other;5;T
P389;3;1;teacher;services;4;T
P39;3;4;services;health;4;T
P390;1;1;other;other;1;T
P391;2;2;services;services;5;A
P392;3;1;services;services;2;T
P393;1;1;other;other;5;T
P394;3;2;services;other;4;T
P395;1;1;other;at_home;3;T
P4;4;2;health;services;3;T
P40;2;2;at_home;other;4;T
P41;2;2;other;other;3;T
P42;4;4;teacher;other;5;T
P43;4;4;services;teacher;4;T
P44;2;2;services;services;5;T
P45;2;2;other;at_home;4;T
P46;4;3;other;other;5;A
P47;3;3;other;services;2;A
P48;4;3;health;services;4;T
P49;4;2;teacher;other;4;T
P5;3;3;other;other;4;T
P50;4;4;services;teacher;4;T
P51;2;2;services;services;4;T
P52;4;2;health;other;4;T
P53;4;2;health;health;5;A
P54;4;4;services;services;3;T
P55;3;3;other;other;5;A
P56;2;1;other;other;5;A
P57;4;3;services;services;4;A
P58;4;4;teacher;health;3;T
P59;1;2;other;at_home;4;T
P6;4;3;services;other;5;T
P60;4;2;services;other;4;T
P61;4;4;health;teacher;2;T
P62;1;1;services;services;5;T
P63;1;2;other;services;4;T
P64;4;3;teacher;health;3;T
P65;4;3;services;services;4;T
P66;4;3;teacher;services;5;T
P67;4;4;other;services;1;A
P68;3;1;services;other;4;T
P69;2;2;health;services;4;T
P7;2;2;other;other;4;T
P70;3;1;other;other;4;T
P71;3;1;other;other;4;T
P72;4;2;other;other;3;T
P73;1;1;other;other;3;T
P74;3;1;other;other;5;T
P75;3;3;other;services;4;T
P76;4;3;teacher;other;4;T
P77;4;0;teacher;other;3;T
P78;2;2;other;other;5;T
P79;2;1;other;other;4;T
P8;4;4;other;teacher;4;A
P80;3;4;at_home;other;2;T
P81;2;3;other;services;3;T
P82;2;3;other;other;5;T
P83;3;2;services;other;4;T
P84;2;2;services;services;5;T
P85;1;1;other;other;4;T
P86;4;4;services;services;4;T
P87;2;2;at_home;other;4;T
P88;4;2;other;other;5;T
P89;2;2;services;other;4;T
P9;3;2;services;other;4;A
P90;4;4;teacher;health;4;A
P91;3;3;other;other;4;T
P92;4;3;services;other;4;T
P93;3;1;other;other;3;T
P94;4;2;teacher;services;5;T
P95;2;2;services;health;4;T
P96;1;1;at_home;other;3;T
P97;4;3;services;other;3;T
P98;2;1;other;other;4;T
P99;4;4;other;other;5;T

