ID_Etude;Nombre_d_absences;Note_de_premiere_periode;Note_de_deuxieme_periode;Note_Finale;Temps_d_etude;Temps_de_trajet
ET196;0;14;15;15;2;1
ET197;4;17;15;16;1;1
ET198;8;9;9;10;1;3
ET199;24;18;18;18;1;2
ET2;4;5;5;6;2;1
ET20;4;8;10;10;1;1
ET200;0;9;9;10;2;1
ET201;2;16;16;16;2;1
ET202;6;8;10;10;2;1
ET203;4;9;9;10;2;1
ET204;18;7;6;6;1;1
ET205;6;10;10;11;4;2
ET206;28;10;9;9;3;1
ET207;5;7;7;7;2;1
ET208;10;11;12;13;2;1
ET209;6;9;9;10;1;2
ET21;0;13;14;15;2;1
ET210;6;7;7;7;3;2
ET211;10;8;8;8;4;1
ET212;13;12;12;13;2;1
ET213;0;12;13;14;2;1
ET214;15;6;7;8;2;1
ET215;12;8;10;10;1;1
ET216;2;14;15;15;2;2
ET217;22;6;6;4;2;1
ET218;13;6;6;8;2;1
ET219;3;7;7;8;1;2
ET22;0;12;15;15;1;1
ET220;4;9;10;10;3;1
ET221;2;6;6;6;2;2
ET222;0;6;5;0;3;1
ET223;2;16;16;17;2;1
ET224;0;12;13;13;2;2
ET225;0;13;13;14;3;1
ET226;16;9;8;7;2;1
ET227;10;16;15;15;2;1
ET228;2;12;11;12;2;1
ET229;14;10;8;9;2;4
ET23;2;15;15;16;2;1
ET230;10;12;10;12;3;2
ET231;14;13;13;14;2;1
ET232;4;11;11;11;2;2
ET233;14;11;9;9;2;1
ET234;2;14;13;13;2;1
ET235;18;9;7;6;2;2
ET236;10;11;9;10;3;2
ET237;4;14;13;13;2;1
ET238;20;13;12;12;1;1
ET239;2;13;11;11;2;3
ET24;0;13;13;12;2;2
ET240;0;7;7;0;2;1
ET241;14;12;12;12;2;2
ET242;2;10;11;12;2;2
ET243;0;6;0;0;1;1
ET244;0;13;12;12;1;1
ET245;0;7;0;0;3;2
ET246;6;18;18;18;1;3
ET247;4;12;12;13;1;2
ET248;16;6;8;8;1;1
ET249;8;3;5;5;2;1
ET25;2;10;9;8;3;1
ET250;0;13;15;15;1;1
ET251;0;6;8;8;1;2
ET252;6;7;10;10;2;3
ET253;4;6;9;8;1;1
ET254;0;8;9;8;1;2
ET255;0;8;12;12;1;1
ET256;2;7;9;8;1;2
ET257;6;14;12;13;4;1
ET258;12;11;11;11;2;1
ET259;8;15;14;14;2;1
ET26;14;6;9;8;1;1
ET260;0;10;9;0;4;1
ET261;21;17;18;18;2;1
ET262;2;8;8;8;2;1
ET263;1;13;12;12;3;1
ET264;4;10;9;9;3;1
ET265;0;9;10;0;3;1
ET266;13;17;17;17;2;2
ET267;2;9;9;10;2;1
ET268;8;12;10;11;2;2
ET269;10;10;9;10;2;1
ET27;2;12;12;11;1;1
ET270;0;6;0;0;2;2
ET271;15;9;9;9;2;1
ET272;4;15;14;14;4;1
ET273;2;11;11;11;2;2
ET274;2;15;14;14;2;1
ET275;2;10;10;10;2;2
ET276;6;12;12;12;2;2
ET277;75;10;9;9;2;2
ET278;22;9;9;9;1;2
ET279;15;9;8;8;2;1
ET28;4;15;16;15;1;1
ET280;8;10;11;10;1;2
ET281;30;8;8;8;1;2
ET282;19;11;9;10;1;1
ET283;1;12;12;12;4;2
ET284;4;8;9;10;2;2
ET285;4;10;9;11;2;1
ET286;2;12;10;11;2;1
ET287;5;18;18;19;3;1
ET288;6;13;12;12;3;1
ET289;6;15;14;14;3;1
ET29;4;11;11;11;2;1
ET290;9;15;13;15;2;1
ET291;11;12;11;11;2;1
ET292;0;15;15;15;3;1
ET293;12;12;12;13;2;1
ET294;6;18;18;18;4;2
ET295;8;14;13;14;3;2
ET296;4;14;12;11;1;1
ET297;0;10;9;0;2;2
ET298;10;10;8;8;2;2
ET299;0;14;13;14;4;1
ET3;10;7;8;10;2;1
ET30;16;10;12;11;2;1
ET300;5;16;15;16;1;1
ET301;14;12;10;11;2;1
ET302;0;11;11;10;1;2
ET303;0;15;12;14;3;2
ET304;0;17;17;18;4;1
ET305;20;15;14;13;2;1
ET306;8;14;12;12;2;1
ET307;0;17;18;18;1;1
ET308;38;8;9;8;1;2
ET309;0;15;12;12;2;1
ET31;0;9;11;12;2;1
ET310;18;12;10;10;2;1
ET311;0;9;9;0;2;1
ET312;20;14;12;13;2;3
ET313;3;13;11;11;2;1
ET314;22;13;10;11;2;2
ET315;14;15;13;13;3;1
ET316;40;13;11;11;3;1
ET317;0;8;8;0;2;2
ET318;9;9;10;9;3;1
ET319;0;11;11;10;3;1
ET32;0;17;16;17;2;2
ET320;2;11;11;11;2;1
ET321;23;13;13;13;2;1
ET322;12;11;9;9;2;1
ET323;3;11;11;11;3;1
ET324;1;12;14;15;3;1
ET325;0;16;15;15;3;2
ET326;3;9;12;11;3;1
ET327;3;14;15;16;1;1
ET328;8;11;10;10;1;4
ET329;7;10;9;9;3;1
ET33;0;17;16;16;2;1
ET330;4;14;14;14;3;2
ET331;2;9;8;8;4;1
ET332;7;12;14;14;3;1
ET333;0;7;0;0;2;1
ET334;0;8;8;0;2;1
ET335;0;10;9;0;4;2
ET336;16;16;15;15;3;1
ET337;12;14;13;13;3;1
ET338;0;7;8;0;2;1
ET339;7;16;15;17;4;1
ET34;0;8;10;12;2;1
ET340;4;9;10;10;2;1
ET341;4;11;12;11;3;1
ET342;0;10;10;0;2;1
ET343;11;16;15;15;2;1
ET344;0;9;8;0;2;1
ET345;4;11;10;10;3;1
ET346;7;13;13;14;3;1
ET347;9;16;15;16;3;1
ET348;0;10;10;9;3;1
ET349;0;13;15;15;3;1
ET35;0;12;14;15;1;1
ET350;10;11;13;13;1;2
ET351;8;8;7;8;2;3
ET352;2;13;13;13;2;2
ET353;7;8;7;8;1;1
ET354;4;8;8;8;1;3
ET355;4;13;11;11;2;2
ET356;0;10;9;9;2;1
ET357;4;12;13;13;2;2
ET358;2;12;12;11;2;2
ET359;4;10;10;10;1;2
ET36;0;8;7;6;1;2
ET360;0;18;16;16;3;2
ET361;0;13;13;13;2;3
ET362;2;13;12;12;2;2
ET363;0;11;11;10;2;2
ET364;0;16;15;15;2;1
ET365;0;12;11;12;2;2
ET366;4;10;10;10;2;2
ET367;0;13;13;13;3;2
ET368;0;7;6;0;1;3
ET369;0;11;10;10;1;2
ET37;2;15;16;18;3;1
ET370;10;14;12;11;2;3
ET371;4;7;7;9;2;2
ET372;3;14;12;12;1;3
ET373;8;13;11;11;3;1
ET374;14;6;5;5;1;1
ET375;0;19;18;19;3;2
ET376;2;8;8;10;3;4
ET377;4;15;14;15;3;2
ET378;4;8;9;10;2;1
ET379;0;15;15;15;2;1
ET38;7;15;16;15;3;2
ET380;17;10;10;10;2;1
ET381;4;15;14;14;2;1
ET382;5;7;6;7;1;2
ET383;2;11;11;10;2;2
ET384;0;6;5;0;1;2
ET385;14;6;5;5;1;2
ET386;2;10;9;10;3;2
ET387;7;6;5;6;1;3
ET388;0;7;5;0;3;1
ET389;0;7;9;8;2;1
ET39;2;12;12;11;3;1
ET390;0;6;5;0;2;2
ET391;11;9;9;9;2;1
ET392;3;14;16;16;1;2
ET393;3;10;8;7;1;1
ET394;0;11;12;10;1;3
ET395;5;8;9;9;1;1
ET4;2;15;14;15;3;1
ET40;8;14;13;13;1;1
ET41;25;7;10;11;2;2
ET42;8;12;12;12;1;1
ET43;2;19;18;18;2;1
ET44;0;8;8;11;1;1
ET45;14;10;10;9;2;2
ET46;8;8;8;6;2;1
ET47;12;11;12;11;2;1
ET48;4;19;19;20;4;1
ET49;2;15;15;14;2;1
ET5;4;6;10;10;2;1
ET50;2;7;7;7;2;1
ET51;2;12;13;13;2;3
ET52;2;11;13;13;2;1
ET53;6;11;11;10;1;2
ET54;0;8;10;11;1;1
ET55;6;10;13;13;1;1
ET56;8;8;9;10;2;1
ET57;0;14;15;15;2;1
ET58;4;14;15;15;2;1
ET59;2;9;10;9;2;1
ET6;10;15;15;15;2;1
ET60;2;15;16;16;2;1
ET61;6;10;11;11;2;1
ET62;6;10;8;11;1;4
ET63;4;8;10;9;2;1
ET64;2;10;9;9;3;1
ET65;0;10;10;10;2;1
ET66;2;16;15;15;2;3
ET67;4;13;13;12;4;1
ET68;4;7;7;6;4;1
ET69;2;8;9;8;2;2
ET7;0;12;12;11;2;1
ET70;12;16;16;16;4;2
ET71;0;13;15;15;4;2
ET72;0;10;10;10;4;1
ET73;2;8;6;5;2;1
ET74;2;12;12;14;1;1
ET75;54;11;12;11;2;1
ET76;6;9;9;10;2;1
ET77;8;11;11;10;4;2
ET78;0;11;11;11;4;1
ET79;2;8;8;10;1;2
ET8;6;6;5;6;2;2
ET80;12;5;5;5;2;1
ET81;2;10;12;12;1;1
ET82;4;11;10;11;3;1
ET83;10;7;6;6;2;1
ET84;4;15;15;15;2;2
ET85;2;9;10;10;2;1
ET86;6;7;9;8;2;2
ET87;4;8;7;6;2;1
ET88;4;13;14;14;3;1
ET89;12;11;10;10;2;2
ET9;0;16;18;19;2;1
ET90;18;8;6;7;2;1
ET91;0;7;7;8;3;1
ET92;4;16;17;18;1;1
ET93;4;7;6;6;2;1
ET94;0;11;10;10;2;2
ET95;6;11;13;14;4;1
ET96;2;7;10;10;4;2
ET97;2;11;15;15;1;2
ET98;2;8;9;10;2;1
ET99;6;11;14;14;1;1

